time_ns,source,destination,route,rtt_ns,hop_count,failed_isls,status
15700000000,12,13,12-1-0-3-13,29016412.2039046399,4,,NORMAL
15800000000,12,13,12-1-0-3-13,29014103.1914418265,4,,NORMAL
15900000000,12,13,12-1-0-3-13,29011802.7811487056,4,,NORMAL
16000000000,12,13,12-1-0-3-13,29009499.3069572225,4,,NORMAL
16100000000,12,13,12-1-0-3-13,29007204.9936042503,4,,NORMAL
16200000000,12,13,12-1-0-3-13,29004910.8135301769,4,,NORMAL
16300000000,12,13,12-1-0-3-13,29002620.1932764985,4,,NORMAL
16400000000,12,13,12-1-0-3-13,29000336.0270323679,4,,NORMAL
16500000000,12,13,12-1-0-3-13,28998051.0955156349,4,,NORMAL
16600000000,12,13,12-1-0-3-13,28995775.3203555048,4,,NORMAL
16700000000,12,13,12-1-0-3-13,28993502.2656707317,4,,NORMAL
16800000000,12,13,12-1-0-3-13,28991223.4173339978,4,,NORMAL
16900000000,12,13,12-1-0-3-13,28988958.7651697248,4,,NORMAL
17000000000,12,13,12-1-0-3-13,28986700.4591313824,4,,NORMAL
17100000000,12,13,12-1-0-3-13,28984437.3492816687,4,,NORMAL
17200000000,12,13,12-1-0-3-13,28982178.7806775160,4,,NORMAL
17300000000,12,13,12-1-0-3-13,28979925.7262742110,4,,NORMAL
17400000000,12,13,12-1-0-3-13,28977677.3180731349,4,,NORMAL
17500000000,12,13,12-1-0-3-13,28975434.4836711809,4,,NORMAL
17600000000,12,13,12-1-0-3-13,28973193.8039209619,4,,NORMAL
17700000000,12,13,12-1-0-3-13,28970953.3112298213,4,,NORMAL
17800000000,12,13,12-1-0-3-13,28968719.3531558178,4,,NORMAL
17900000000,12,13,12-1-0-3-13,28966485.7584654316,4,,NORMAL
18000000000,12,13,12-4-3-13,25346492.5036325082,3,,NORMAL
18100000000,12,13,12-4-3-13,25345063.9331905507,3,,NORMAL
18200000000,12,13,12-4-3-13,25343633.7300011851,3,,NORMAL
18300000000,12,13,12-4-3-13,25342214.7244185694,3,,NORMAL
18400000000,12,13,12-4-3-13,25340792.7888349295,3,,NORMAL
18500000000,12,13,12-4-3-13,25339379.4533047527,3,,NORMAL
18600000000,12,13,12-4-3-13,25337970.9558844045,3,,NORMAL
18700000000,12,13,12-4-3-13,25336560.9572035521,3,,NORMAL
18800000000,12,13,12-4-3-13,25335163.4518915638,3,,NORMAL
18900000000,12,13,12-4-3-13,25333764.2922679149,3,,NORMAL
19000000000,12,13,12-4-3-13,25332371.8627361804,3,,NORMAL
19100000000,12,13,12-4-3-13,25330985.0196056776,3,,NORMAL
