time_ns,source,compute_node,route,rtt_ns,hop_count,failed_isls,status
31600000000,12,0,12-1-0,14779339.8844442144,2,,AVAILABLE
31700000000,12,0,12-1-0,14775978.0974161681,2,,AVAILABLE
31800000000,12,0,12-1-0,14772617.9454598259,2,,AVAILABLE
31900000000,12,0,12-1-0,14769259.4964318667,2,,AVAILABLE
32000000000,12,0,12-1-0,14765908.2956000213,2,,AVAILABLE
32100000000,12,0,12-1-0,14762552.6245706510,2,,AVAILABLE
32200000000,12,0,12-1-0,14759204.6895455401,2,,AVAILABLE
32300000000,12,0,12-1-0,14755852.3572165966,2,,AVAILABLE
32400000000,12,0,12-1-0,14752504.7859238721,2,,AVAILABLE
32500000000,12,0,12-1-0,14749161.3347830139,2,,AVAILABLE
32600000000,12,0,12-1-0,14745810.7026417740,2,,AVAILABLE
32700000000,12,0,12-1-0,14742467.3154359553,2,,AVAILABLE
32800000000,12,0,12-1-0,14739129.4769010004,2,,AVAILABLE
32900000000,12,0,12-1-0,14735786.2291105036,2,,AVAILABLE
33000000000,12,0,12-1-0,14732453.7239868306,2,,AVAILABLE
33100000000,12,0,12-1-0,14729111.2585279420,2,,AVAILABLE
33200000000,12,0,12-1-0,14725778.8208693303,2,,AVAILABLE
33300000000,12,0,12-1-0,14722442.1053736862,2,,AVAILABLE
33400000000,12,0,12-1-0,14719113.6487479489,2,,AVAILABLE
33500000000,12,0,12-1-0,14715782.9828644581,2,,AVAILABLE
33600000000,12,0,12-1-0,14712454.3670518436,2,,AVAILABLE
33700000000,12,0,12-1-0,14709127.6094896179,2,,AVAILABLE
33800000000,12,0,12-1-0,14705798.6425145529,2,,AVAILABLE
33900000000,12,0,12-1-0,14702474.5108583737,2,,AVAILABLE
34000000000,12,0,12-1-0,14699155.1342391241,2,,AVAILABLE
34100000000,12,0,12-1-0,14695834.6836305074,2,,AVAILABLE
34200000000,12,0,12-1-0,14692515.4491290692,2,,AVAILABLE
34300000000,12,0,12-1-0,14689201.0482081957,2,,AVAILABLE
34400000000,12,0,12-1-0,14685882.5990638323,2,,AVAILABLE
34500000000,12,0,12-1-0,14682568.1860480625,2,,AVAILABLE
34600000000,12,0,12-1-0,14679255.9006659128,2,,AVAILABLE
34700000000,12,0,12-1-0,14675948.0338007342,2,,AVAILABLE
34800000000,12,0,12-1-0,14672638.5975120030,2,,AVAILABLE
34900000000,12,0,12-1-0,14669331.2111778799,2,,AVAILABLE
35000000000,12,0,12-1-0,14666027.5202755854,2,,AVAILABLE
35100000000,12,0,12-1-0,14662726.6003909837,2,,AVAILABLE
35200000000,12,0,12-1-0,14659420.4951133076,2,,AVAILABLE
35300000000,12,0,12-1-0,14656122.8412094675,2,,AVAILABLE
35400000000,12,0,12-1-0,14652823.6213733200,2,,AVAILABLE
35500000000,12,0,12-1-0,14649525.6156882420,2,,AVAILABLE
35600000000,12,0,12-1-0,14646229.6598955858,2,,AVAILABLE
35700000000,12,0,12-1-0,14642937.8956661206,2,,AVAILABLE
35800000000,12,0,12-1-0,14639645.6226927973,2,,AVAILABLE
35900000000,12,0,12-1-0,14636354.5656746402,2,,AVAILABLE
36000000000,12,0,12-1-0,14633070.8195779584,2,,AVAILABLE
36100000000,12,0,12-1-0,14629780.3278340790,2,,AVAILABLE
36200000000,12,0,12-1-0,14626494.1695102528,2,,AVAILABLE
36300000000,12,0,12-1-0,14623212.5374461450,2,,AVAILABLE
36400000000,12,0,12-1-0,14619933.2625827864,2,,AVAILABLE
36500000000,12,0,12-1-0,14616654.9783760179,2,,AVAILABLE
36600000000,12,0,12-1-0,14613375.7682625987,2,,AVAILABLE
36700000000,12,0,12-1-0,14610095.4901721943,2,,AVAILABLE
36800000000,12,0,12-1-0,14606825.2223202810,2,,AVAILABLE
36900000000,12,0,12-1-0,14603550.6872467492,2,,AVAILABLE
37000000000,12,0,12-1-0,14600281.6265296619,2,,AVAILABLE
37100000000,12,0,12-1-0,14597010.3552330006,2,,AVAILABLE
37200000000,12,0,12-1-0,14593744.9771295805,2,,AVAILABLE
37300000000,12,0,12-1-0,14590480.1726132538,2,,AVAILABLE
37400000000,12,0,12-1-0,14587217.3328561466,2,,AVAILABLE
37500000000,12,0,12-1-0,14583950.5357314143,2,,AVAILABLE
37600000000,12,0,12-1-0,14580691.0483809095,2,,AVAILABLE
37700000000,12,0,12-1-0,14577436.7244635224,2,,AVAILABLE
37800000000,12,0,12-1-0,14574178.4445523638,2,,AVAILABLE
37900000000,12,0,12-1-0,14570921.0693101566,2,,AVAILABLE
38000000000,12,0,12-1-0,14567668.5281305816,2,,AVAILABLE
38100000000,12,0,12-1-0,14564417.9499295056,2,,AVAILABLE
38200000000,12,0,12-1-0,14561168.6739897896,2,,AVAILABLE
38300000000,12,0,12-1-0,14557919.3946779296,2,,AVAILABLE
38400000000,12,0,12-1-0,14554673.8013726603,2,,AVAILABLE
38500000000,12,0,12-1-0,14551427.0562723763,2,,AVAILABLE
38600000000,12,0,12-1-0,14548185.1453140974,2,,AVAILABLE
38700000000,12,0,12-1-0,14544944.8670495860,2,,AVAILABLE
38800000000,12,0,12-1-0,14541706.6384249479,2,,AVAILABLE
38900000000,12,0,12-1-0,14538470.0424759593,2,,AVAILABLE
39000000000,12,0,12-1-0,14535231.8794717602,2,,AVAILABLE
39100000000,12,0,12-1-0,14532002.1673758868,2,,AVAILABLE
39200000000,12,0,12-1-0,14528767.6847377643,2,,AVAILABLE
39300000000,12,0,12-1-0,14525538.0363351293,2,,AVAILABLE
