finding_id,scenario,workload,policy,metric,finding_type,baseline_value,compared_value,absolute_change,relative_change_percent,statement
F0049,multi,burst,compute_only,placement_success_ratio,percentage_point_change,1.0,0.9633333333333333,-0.036666666666666736,,다중 장애 조건에서 compute_only 정책의 배치 성공률은(는) 정상 대비 -3.67%p 변화했습니다.
F0050,multi,burst,compute_only,jobs_unplaced,absolute_change_zero_baseline,0.0,11.0,11.0,,"다중 장애 조건에서 compute_only 정책의 평균 미배치 작업 수은(는) 정상 대비 절대 변화 +11, 상대 변화 계산 불가(정상 기준 0) 변화했습니다."
F0051,multi,burst,compute_only,deadline_met_ratio,percentage_point_change,0.14,0.08304498269896193,-0.05695501730103808,,다중 장애 조건에서 compute_only 정책의 마감 준수율은(는) 정상 대비 -5.70%p 변화했습니다.
F0052,multi,burst,compute_only,average_queue_wait_seconds,percentage_change,22.469906266497855,55.34107053756192,32.87116427106406,146.28972582798113,다중 장애 조건에서 compute_only 정책의 평균 큐 대기시간은(는) 정상 대비 +146.29% 변화했습니다.
F0053,multi,burst,compute_only,p95_queue_wait_seconds,percentage_change,47.84936468771246,110.18877631184814,62.339411624135685,130.28263181965343,다중 장애 조건에서 compute_only 정책의 P95 큐 대기시간은(는) 정상 대비 +130.28% 변화했습니다.
F0054,multi,burst,compute_only,average_total_time_seconds,percentage_change,24.365744490126502,57.11921516790899,32.75347067778249,134.42425570478613,다중 장애 조건에서 compute_only 정책의 평균 총 시간은(는) 정상 대비 +134.42% 변화했습니다.
F0055,multi,burst,compute_only,p95_total_time_seconds,percentage_change,50.673536897143876,111.26072692402083,60.587190026876954,119.56376786932321,다중 장애 조건에서 compute_only 정책의 P95 총 시간은(는) 정상 대비 +119.56% 변화했습니다.
F0056,multi,burst,compute_only,node_load_imbalance_ratio,percentage_change,0.09273618495495704,0.7163047645065231,0.6235685795515661,672.4112921557427,다중 장애 조건에서 compute_only 정책의 노드 부하 불균형은(는) 정상 대비 +672.41% 변화했습니다.
F0057,multi,burst,network_only,placement_success_ratio,percentage_point_change,1.0,0.9633333333333333,-0.036666666666666736,,다중 장애 조건에서 network_only 정책의 배치 성공률은(는) 정상 대비 -3.67%p 변화했습니다.
F0058,multi,burst,network_only,jobs_unplaced,absolute_change_zero_baseline,0.0,11.0,11.0,,"다중 장애 조건에서 network_only 정책의 평균 미배치 작업 수은(는) 정상 대비 절대 변화 +11, 상대 변화 계산 불가(정상 기준 0) 변화했습니다."
F0059,multi,burst,network_only,deadline_met_ratio,percentage_point_change,0.05,0.11418685121107267,0.06418685121107266,,다중 장애 조건에서 network_only 정책의 마감 준수율은(는) 정상 대비 +6.42%p 변화했습니다.
F0060,multi,burst,network_only,average_queue_wait_seconds,percentage_change,186.84788961512868,120.01432009380976,-66.83356952131892,-35.76897210826594,다중 장애 조건에서 network_only 정책의 평균 큐 대기시간은(는) 정상 대비 -35.77% 변화했습니다.
F0061,multi,burst,network_only,p95_queue_wait_seconds,percentage_change,370.4481569111311,266.5497268153152,-103.89843009581591,-28.046685658295957,다중 장애 조건에서 network_only 정책의 P95 큐 대기시간은(는) 정상 대비 -28.05% 변화했습니다.
F0062,multi,burst,network_only,average_total_time_seconds,percentage_change,188.77745481812502,121.66372454417368,-67.11373027395135,-35.551771973306415,다중 장애 조건에서 network_only 정책의 평균 총 시간은(는) 정상 대비 -35.55% 변화했습니다.
F0063,multi,burst,network_only,p95_total_time_seconds,percentage_change,372.44681625167146,267.7741090596995,-104.67270719197194,-28.10406818493033,다중 장애 조건에서 network_only 정책의 P95 총 시간은(는) 정상 대비 -28.10% 변화했습니다.
F0064,multi,burst,network_only,node_load_imbalance_ratio,percentage_change,1.4142135623730951,1.2076174140547262,-0.20659614831836892,-14.608553744294039,다중 장애 조건에서 network_only 정책의 노드 부하 불균형은(는) 정상 대비 -14.61% 변화했습니다.
